ticker,name,sector,industry
298380,298380,KOSDAQ,
302920,302920,KOSDAQ,
304100,304100,KOSDAQ,
310210,310210,KOSDAQ,
315640,315640,KOSDAQ,
317330,317330,KOSDAQ,
319400,319400,KOSDAQ,
319660,319660,KOSDAQ,
321370,321370,KOSDAQ,
322310,322310,KOSDAQ,
323280,323280,KOSDAQ,
327260,327260,KOSDAQ,
328130,328130,KOSDAQ,
336570,336570,KOSDAQ,
338220,338220,KOSDAQ,
347700,347700,KOSDAQ,
347850,347850,KOSDAQ,
348210,348210,KOSDAQ,
348340,348340,KOSDAQ,
348370,348370,KOSDAQ,
352480,352480,KOSDAQ,
354320,354320,KOSDAQ,
356860,356860,KOSDAQ,
357780,357780,KOSDAQ,
358570,358570,KOSDAQ,
365340,365340,KOSDAQ,
368770,368770,KOSDAQ,
372170,372170,KOSDAQ,
373200,373200,KOSDAQ,
376300,376300,KOSDAQ,
376900,376900,KOSDAQ,
377330,377330,KOSDAQ,
377480,377480,KOSDAQ,
382800,382800,KOSDAQ,
382900,382900,KOSDAQ,
383310,383310,KOSDAQ,
388720,388720,KOSDAQ,
389030,389030,KOSDAQ,
389470,389470,KOSDAQ,
389500,389500,KOSDAQ,
393890,393890,KOSDAQ,
394280,394280,KOSDAQ,
396270,396270,KOSDAQ,
397030,397030,KOSDAQ,
399720,399720,KOSDAQ,
402030,402030,KOSDAQ,
403490,403490,KOSDAQ,
403870,403870,KOSDAQ,
405100,405100,KOSDAQ,
411080,411080,KOSDAQ,
417200,417200,KOSDAQ,
417840,417840,KOSDAQ,
420770,420770,KOSDAQ,
424870,424870,KOSDAQ,
424980,424980,KOSDAQ,
432720,432720,KOSDAQ,
437730,437730,KOSDAQ,
439090,439090,KOSDAQ,
439960,439960,KOSDAQ,
440110,440110,KOSDAQ,
445680,445680,KOSDAQ,
455900,455900,KOSDAQ,
456010,456010,KOSDAQ,
456160,456160,KOSDAQ,
457370,457370,KOSDAQ,
458870,458870,KOSDAQ,
